aksel;m;danish, norwegian;0
alfhild;f;norwegian, swedish;0
andor;m;norwegian;0
aslaug;f;norwegian, danish;0
benedikte;f;danish, norwegian;0
bergliot;f;norwegian;0
bergljot;f;norwegian;0
dagfinn;m;norwegian, danish;0
dagrun;f;norwegian;0
eirik;m;norwegian;0
else;f;danish, norwegian, german;0.16
erlend;m;norwegian, danish;0.89
frode;m;danish, norwegian;0
gjurd;m;norwegian;0
gregers;m;danish, norwegian;0
grethe;f;danish, norwegian;0
gro;f;norwegian;0
gry;f;norwegian;0
gunnhild;f;norwegian;0
gunnvor;f;norwegian;0
haakon;m;norwegian;0.03
haldor;m;danish, norwegian;0
halldor;m;danish, norwegian;0
hallvard;m;norwegian;0
halstein;m;norwegian;0
halvard;m;norwegian;0
halvdan;m;norwegian;0
halvor;m;norwegian, danish;0
hedda;f;norwegian;0.03
hege;f;norwegian, danish;0
henning;m;german, danish, norwegian;0
jacobine;f;norwegian, danish, dutch;0.73
janne (2);f;danish, norwegian;0
johanne;f;danish, norwegian;0
jonette;f;norwegian, english;0
kaia;f;norwegian;0
karen;f;danish, norwegian, english;0.19
kari (1);f;norwegian;0
karita;f;norwegian;0
karoline;f;german, danish, norwegian;0
kjell;m;swedish, norwegian;0
kjellfrid;f;norwegian;0
kjerstin;f;swedish, norwegian;0
kjetil;m;norwegian;0
knute;m;norwegian;0
kristine;f;danish, norwegian;0
lovise;f;danish, norwegian;0
magnhild;f;norwegian;0
margrethe;f;german, danish, norwegian;0.03
marit;f;norwegian, swedish;0
marius;m;ancient roman, german, dutch, norwegian, danish, french, english, romanian;0.92
mats;m;swedish, norwegian;0.61
nils;m;swedish, norwegian;0.67
odd;m;norwegian;0
oddmund;m;norwegian;0
ola;m;norwegian, swedish;0.03
olaf;m;norwegian, danish;1.08
olav;m;norwegian, danish;0
ole;m;danish, norwegian;0.13
peder;m;danish, norwegian;0
petter;m;swedish, norwegian;0
rebekka;f;german, danish, norwegian;0
roald;m;norwegian;0
roar;m;norwegian;0
silje;f;norwegian, danish;0
sindre;m;norwegian;0
sjurd;m;norwegian;0
sofia;f;norwegian, swedish, italian, greek;0.54
solveig;f;norwegian;0
stein;m;norwegian;0.89
svanhild;f;norwegian;0
sverre;m;norwegian;0
tomas;m;swedish, norwegian;0
tordis;f;norwegian, danish;0.10
torgeir;m;norwegian, danish;0
torger;m;norwegian, danish;0
torhild;f;norwegian;0
tormod;m;norwegian;0
varg;m;norwegian;0
vibeke;f;danish, norwegian;0
yngvar;m;danish, norwegian;0
