acke;m;swedish;0
agneta;f;swedish;0
alfhild;f;norwegian, swedish;0
annika;f;dutch, swedish, finnish;0
barbro;f;swedish;0
bengt;m;swedish;0
bengta;f;swedish;0
bo (1);m;swedish, danish;0
britt;f;swedish;0
britta;f;swedish;0
cajsa;f;swedish;0
christer;m;swedish, danish;0
elof;m;swedish;0
elov;m;swedish;0
elsa;f;english, german, swedish;5.51
emelie;f;swedish;0
erland;m;swedish, danish;0.03
fredrik;m;swedish;0
freja;f;swedish;0
frida;f;swedish, hungarian;0.16
gerhard;m;german, swedish;0.22
gittan;f;swedish;0
gjord;m;swedish;0
gottfrid;m;swedish;0
greger;m;swedish;0
greta;f;swedish, german, english;0.76
gunilla;f;swedish;0
gustaf;m;swedish;0.10
halsten;m;swedish;0
halvar;m;swedish;0
hampus;m;swedish;0
inga;f;swedish;0.03
inger;f;swedish;0
isak;m;swedish;0
janne (1);m;swedish;0
jerk;m;swedish;0.25
jerker;m;swedish;0
jonatan;m;swedish;0
jonna;f;danish, swedish;0
kajsa;f;swedish;0
kalle;m;swedish, finnish;0
karin;f;swedish, finnish;0.03
katarina;f;german, swedish, hungarian, croatian, serbian, slovene;0
kerstin;f;german, swedish;0
kettil;m;swedish;0
kjell;m;swedish, norwegian;0
kjerstin;f;swedish, norwegian;0
klemens;m;german, danish, swedish, polish;0.06
krister;m;swedish;0
kristina;f;swedish, czech, russian, german;0
lovisa;f;swedish;0
malin;f;swedish;10.99
marit;f;norwegian, swedish;0
marna;f;swedish;0
mats;m;swedish, norwegian;0.61
mia;f;danish, swedish;0.29
moa;f;swedish;0.06
nea;f;swedish;0.06
nels;m;swedish;0
niklas;m;swedish;0
nils;m;swedish, norwegian;0.67
noak;m;swedish;0
ola;m;norwegian, swedish;0.03
olle;m;swedish;0
olof;m;swedish;0
olov;m;swedish;0
orvar;m;swedish;0
pernilla;f;swedish;0
petter;m;swedish, norwegian;0
rebecka;f;swedish;0
rut;f;swedish, german, italian, spanish, polish;1.56
sassa;f;swedish;0
sibylla;f;greek, german, swedish;0.51
sigfrid;m;swedish;0
sigvard;m;swedish;0.03
sofia;f;norwegian, swedish, italian, greek;0.54
solvig;f;swedish;0
stellan;m;swedish;0
sten;m;swedish;0.29
sven;m;swedish;0.25
teodora;f;italian, spanish, portuguese, swedish, romanian, polish;0
thorstein;m;swedish, danish;0
tilda;f;english, swedish;0
tomas;m;swedish, norwegian;0
torkel;m;swedish;0
torsten;m;swedish, danish;0.03
tryggve;m;swedish;0
tyko;m;swedish;0
ulf;m;danish, swedish;0
ulrica;f;swedish;0
urban;m;english, danish, swedish, polish, czech;0.16
vincent;m;english, french, dutch, danish, swedish;21.63
virginia;f;english, italian, spanish, portuguese, danish, swedish, romanian, ancient roman;3.03
viveka;f;swedish;0
